Round Number, Network Remaining Energy
-1,250.000000
1,249.999800
2,249.935337
3,249.872079
4,249.803205
5,249.737586
6,249.709139
7,249.657451
8,249.597459
9,249.499506
10,249.440938
11,249.347974
12,249.289856
13,249.235781
14,249.203581
15,249.150183
16,249.083248
17,248.995174
18,248.981473
19,248.921526
20,248.872852
21,248.796678
22,248.774470
23,248.691903
24,248.625679
25,248.574050
26,248.519243
27,248.359666
28,248.257841
29,248.196108
30,248.129196
31,248.060035
32,247.984602
33,247.929922
34,247.833969
35,247.726307
36,247.659201
37,247.614670
38,247.595354
39,247.513756
40,247.391683
41,247.383704
42,247.305331
43,247.248249
44,247.162713
45,247.085751
46,246.996168
47,246.925168
48,246.886111
49,246.834379
50,246.812185
51,246.713391
52,246.613019
53,246.547184
54,246.469627
55,246.401221
56,246.349769
57,246.298997
58,246.248713
59,246.186407
60,246.165839
61,246.104843
62,246.051231
63,245.977817
64,245.915764
65,245.850540
66,245.787756
67,245.716147
68,245.613544
69,245.555913
70,245.457077
71,245.400553
72,245.330930
73,245.274317
74,245.222423
75,245.150998
76,245.041864
77,244.986680
78,244.914755
79,244.910261
80,244.807992
81,244.793818
82,244.697146
83,244.622197
84,244.550170
85,244.452861
86,244.370901
87,244.307762
88,244.254872
89,244.207175
90,244.151510
91,244.037679
92,243.974342
93,243.925053
94,243.859693
95,243.850584
96,243.786951
97,243.707884
98,243.638453
99,243.567146
100,243.455055
101,243.392589
102,243.335751
103,243.266811
104,243.195776
105,243.094730
106,243.023921
107,242.993804
108,242.928215
109,242.837135
110,242.738812
111,242.679862
112,242.638640
113,242.565385
114,242.497336
115,242.422898
116,242.373156
117,242.351737
118,242.283007
119,242.220592
120,242.140930
121,242.076143
122,242.019026
123,241.954764
124,241.822278
125,241.798394
126,241.721658
127,241.665263
128,241.592932
129,241.523316
130,241.466556
131,241.397930
132,241.318967
133,241.251695
134,241.200551
135,241.044051
136,240.985932
137,240.898056
138,240.854157
139,240.843968
140,240.742472
141,240.677077
142,240.606105
143,240.543199
144,240.484697
145,240.484687
146,240.428685
147,240.368376
148,240.266628
149,240.219084
150,240.158393
151,240.069124
152,239.997375
153,239.941077
154,239.860372
155,239.806367
156,239.785844
157,239.715939
158,239.669762
159,239.554398
160,239.478185
161,239.394035
162,239.307124
163,239.232111
164,239.170405
165,239.108501
166,239.045082
167,239.027411
168,238.973520
169,238.904577
170,238.868016
171,238.807326
172,238.741049
173,238.682907
174,238.629486
175,238.408220
176,238.385063
177,238.290903
178,238.205569
179,238.149958
180,238.095934
181,238.086180
182,238.030171
183,237.950021
184,237.872746
185,237.796997
186,237.712323
187,237.642055
188,237.586919
189,237.505395
190,237.418020
191,237.329265
192,237.278922
193,237.276398
194,237.193057
195,237.114476
196,237.046583
197,236.984126
198,236.912861
199,236.849655
200,236.776241
201,236.702993
202,236.631794
203,236.548924
204,236.512348
205,236.466645
206,236.446426
207,236.353091
208,236.300615
209,236.237084
210,236.180163
211,236.122540
212,236.061243
213,235.981879
214,235.773285
215,235.708418
216,235.694255
217,235.626295
218,235.571791
219,235.491935
220,235.468451
221,235.382465
222,235.327708
223,235.147242
224,235.104764
225,235.031526
226,234.976522
227,234.895811
228,234.823373
229,234.738055
230,234.652393
231,234.555598
232,234.502522
233,234.446937
234,234.351140
235,234.334056
236,234.284678
237,234.228190
238,234.163504
239,234.114592
240,234.064370
241,233.994477
242,233.975169
243,233.856226
244,233.769008
245,233.690274
246,233.639097
247,233.559248
248,233.485840
249,233.417146
250,233.292097
251,233.206507
252,233.140165
253,233.074040
254,233.065691
255,233.010250
256,232.937761
257,232.880938
258,232.837026
259,232.757013
260,232.678088
261,232.604033
262,232.541495
263,232.486768
264,232.408758
265,232.394526
266,232.325253
267,231.910653
268,231.821120
269,231.761182
270,231.704563
271,231.626836
272,231.555493
273,231.491349
274,231.436315
275,231.378412
276,231.301462
