Round Number, Total Energy Consumption
-1,-225.000000
1,-224.999800
2,-224.917392
3,-224.854645
4,-224.774826
5,-224.709207
6,-224.682475
7,-224.625221
8,-224.565230
9,-224.454996
10,-224.396428
11,-224.303464
12,-224.245347
13,-224.191272
14,-224.159072
15,-224.105673
16,-224.038739
17,-223.950664
18,-223.936963
19,-223.877016
20,-223.828342
21,-223.752168
22,-223.729960
23,-223.647393
24,-223.581169
25,-223.529540
26,-223.474733
27,-223.315156
28,-223.213331
29,-223.151598
30,-223.084686
31,-223.015525
32,-222.940092
33,-222.885412
34,-222.789459
35,-222.681797
36,-222.614692
37,-222.570160
38,-222.550844
39,-222.469246
40,-222.347173
41,-222.339194
42,-222.260821
43,-222.203739
44,-222.118203
45,-222.041242
46,-221.951658
47,-221.880658
48,-221.841601
49,-221.789869
50,-221.767675
51,-221.668881
52,-221.568509
53,-221.502674
54,-221.425118
55,-221.356711
56,-221.305259
57,-221.254487
58,-221.204203
59,-221.141897
60,-221.121329
61,-221.060333
62,-221.006721
63,-220.933307
64,-220.871254
65,-220.806031
66,-220.743247
67,-220.671638
68,-220.569034
69,-220.511404
70,-220.412567
