Round Number, No data in Sink
-1,0
1,0
2,45
3,90
4,138
5,183
6,201
7,248
8,291
9,337
10,381
11,427
12,471
13,511
14,511
15,558
16,604
17,647
18,655
19,700
20,744
21,791
22,799
23,843
24,889
25,933
26,976
27,1022
28,1068
29,1115
30,1159
31,1206
32,1254
33,1296
34,1343
35,1389
36,1430
37,1474
38,1491
39,1539
40,1586
41,1596
42,1642
43,1686
44,1733
45,1776
46,1818
47,1818
48,1859
49,1904
50,1913
51,1959
52,2004
53,2045
54,2094
55,2140
56,2186
57,2232
58,2275
59,2320
60,2328
61,2373
62,2416
63,2465
64,2509
65,2556
66,2599
67,2645
68,2693
69,2735
70,2782
